[*] Looking for AMF container process...
    pid=146560
    exe=/proc/146560/exe

    cgroup_id=26258

[*] Attaching uprobes...
[*] Attaching tracepoints...
  [tp]     syscalls/sys_enter_connect
  [tp]     syscalls/sys_exit_connect
  [tp]     syscalls/sys_enter_accept4
  [tp]     syscalls/sys_exit_accept4
  [tp]     syscalls/sys_enter_write
  [tp]     syscalls/sys_exit_read

[*] Tracing AMF (pid=146560). Ctrl+C to stop.

NF    API
────  ────────────────────────────────
[06:22:29.726610] AMF   WRITE    112    bytes  pid=146560
[06:22:29.726706] AMF   WRITE    165    bytes  pid=146560
[06:22:29.726737] AMF   WRITE    163    bytes  pid=146560
[06:22:29.726750] AMF   WRITE    178    bytes  pid=146560
[06:22:29.726799] AMF   WRITE    101    bytes  pid=146560
[06:22:29.726832] AMF   WRITE    133    bytes  pid=146560
[06:22:29.726842] AMF   WRITE    131    bytes  pid=146560
[06:22:29.726851] AMF   WRITE    142    bytes  pid=146560
[06:22:29.726864] AMF   WRITE    162    bytes  pid=146560
[06:22:29.726879] AMF   WRITE    144    bytes  pid=146560
[06:22:29.726888] AMF   WRITE    128    bytes  pid=146560
[06:22:29.726933] AMF   WRITE    8      bytes  pid=146560
[06:22:29.726949] AMF   READ     8      bytes  pid=146560
[06:22:29.727072] AMF   WRITE    8      bytes  pid=146560
[06:22:29.727088] AMF   READ     8      bytes  pid=146560
[06:22:29.727111] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.727116] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.727130] AMF   WRITE    8      bytes  pid=146560
[06:22:29.727133] AMF   WRITE    44     bytes  pid=146560
[06:22:29.727134] AMF   WRITE    44     bytes  pid=146560
[06:22:29.727147] AMF   READ     8      bytes  pid=146560
[06:22:29.727318] AMF   READ     64     bytes  pid=146560
[06:22:29.727351] AMF   READ     33     bytes  pid=146560
[06:22:29.727521] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:29.727687] AMF   WRITE    70     bytes  pid=146560
[06:22:29.727788] AMF   WRITE    8      bytes  pid=146560
[06:22:29.727917] AMF   WRITE    128    bytes  pid=146560
[06:22:29.727925] AMF   READ     8      bytes  pid=146560
[06:22:29.728044] AMF   READ     39     bytes  pid=146560
[06:22:29.728148] AMF   WRITE    8      bytes  pid=146560
[06:22:29.728159] AMF   READ     8      bytes  pid=146560
[06:22:29.728220] AMF   WRITE    132    bytes  pid=146560
[06:22:29.728301] AMF   WRITE    9      bytes  pid=146560
[06:22:29.728331] AMF   READ     22     bytes  pid=146560
[06:22:29.732344] AMF   READ     63     bytes  pid=146560
[06:22:29.732550] AMF   READ     626    bytes  pid=146560
[06:22:29.732825] AMF   WRITE    524    bytes  pid=146560
[06:22:29.734341] AMF   READ     17     bytes  pid=146560
[06:22:29.734567] AMF   READ     537    bytes  pid=146560
[06:22:29.734806] AMF   WRITE    21     bytes  pid=146560
[06:22:29.734843] AMF   WRITE    134    bytes  pid=146560
[06:22:29.738732] AMF   READ     17     bytes  pid=146560
[06:22:29.738897] AMF   READ     628    bytes  pid=146560
[06:22:29.739137] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.739138] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.739155] AMF   WRITE    45     bytes  pid=146560
[06:22:29.739155] AMF   WRITE    45     bytes  pid=146560
[06:22:29.739290] AMF   READ     34     bytes  pid=146560
[06:22:29.739334] AMF   READ     66     bytes  pid=146560
[06:22:29.739458] AMF   CONNECT  → 10.100.200.10:8000      pid=146560
[06:22:29.739506] AMF   WRITE    70     bytes  pid=146560
[06:22:29.739647] AMF   WRITE    589    bytes  pid=146560
[06:22:29.739674] AMF   WRITE    115    bytes  pid=146560
[06:22:29.739720] AMF   READ     39     bytes  pid=146560
[06:22:29.739740] AMF   WRITE    9      bytes  pid=146560
[06:22:29.739763] AMF   READ     22     bytes  pid=146560
[06:22:29.739785] AMF   WRITE    8      bytes  pid=146560
[06:22:29.739794] AMF   READ     8      bytes  pid=146560
[06:22:29.739957] AMF   READ     17     bytes  pid=146560
[06:22:29.758317] AMF   READ     134    bytes  pid=146560
[06:22:29.758392] AMF   READ     381    bytes  pid=146560
[06:22:29.758470] AMF   WRITE    131    bytes  pid=146560
[06:22:29.758503] AMF   WRITE    150    bytes  pid=146560
[06:22:29.758603] AMF   WRITE    121    bytes  pid=146560
[06:22:29.759464] AMF   WRITE    114    bytes  pid=146560
[06:22:29.759478] AMF   READ     17     bytes  pid=146560
[06:22:29.759501] AMF   WRITE    169    bytes  pid=146560
[06:22:29.759554] AMF   WRITE    137    bytes  pid=146560
[06:22:29.759564] AMF   WRITE    134    bytes  pid=146560
[06:22:29.759573] AMF   WRITE    120    bytes  pid=146560
[06:22:29.759786] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.759803] AMF   WRITE    44     bytes  pid=146560
[06:22:29.759936] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.759949] AMF   WRITE    44     bytes  pid=146560
[06:22:29.760265] AMF   READ     33     bytes  pid=146560
[06:22:29.760295] AMF   READ     64     bytes  pid=146560
[06:22:29.760443] AMF   CONNECT  → 10.100.200.4:8000       pid=146560
[06:22:29.760510] AMF   WRITE    70     bytes  pid=146560
[06:22:29.760592] AMF   WRITE    128    bytes  pid=146560
[06:22:29.760829] AMF   WRITE    134    bytes  pid=146560
[06:22:29.761286] AMF   READ     61     bytes  pid=146560
[06:22:29.761302] AMF   WRITE    9      bytes  pid=146560
[06:22:29.765897] AMF   READ     63     bytes  pid=146560
[06:22:29.766113] AMF   READ     628    bytes  pid=146560
[06:22:29.766401] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.766401] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.766432] AMF   WRITE    45     bytes  pid=146560
[06:22:29.766432] AMF   WRITE    45     bytes  pid=146560
[06:22:29.766596] AMF   READ     34     bytes  pid=146560
[06:22:29.766658] AMF   READ     66     bytes  pid=146560
[06:22:29.766824] AMF   CONNECT  → 10.100.200.10:8000      pid=146560
[06:22:29.766902] AMF   WRITE    70     bytes  pid=146560
[06:22:29.767091] AMF   WRITE    611    bytes  pid=146560
[06:22:29.767127] AMF   READ     17     bytes  pid=146560
[06:22:29.767201] AMF   WRITE    55     bytes  pid=146560
[06:22:29.767320] AMF   READ     61     bytes  pid=146560
[06:22:29.767826] AMF   WRITE    9      bytes  pid=146560
[06:22:29.780943] AMF   READ     63     bytes  pid=146560
[06:22:29.781020] AMF   READ     153    bytes  pid=146560
[06:22:29.781128] AMF   WRITE    146    bytes  pid=146560
[06:22:29.781159] AMF   WRITE    150    bytes  pid=146560
[06:22:29.781180] AMF   WRITE    150    bytes  pid=146560
[06:22:29.781269] AMF   WRITE    141    bytes  pid=146560
[06:22:29.781300] AMF   WRITE    8      bytes  pid=146560
[06:22:29.781312] AMF   READ     8      bytes  pid=146560
[06:22:29.781988] AMF   WRITE    114    bytes  pid=146560
[06:22:29.782015] AMF   WRITE    169    bytes  pid=146560
[06:22:29.782069] AMF   WRITE    140    bytes  pid=146560
[06:22:29.782081] AMF   WRITE    152    bytes  pid=146560
[06:22:29.782120] AMF   WRITE    133    bytes  pid=146560
[06:22:29.782232] AMF   WRITE    133    bytes  pid=146560
[06:22:29.782253] AMF   WRITE    153    bytes  pid=146560
[06:22:29.782263] AMF   WRITE    140    bytes  pid=146560
[06:22:29.782313] AMF   WRITE    142    bytes  pid=146560
[06:22:29.782330] AMF   WRITE    150    bytes  pid=146560
[06:22:29.782393] AMF   READ     17     bytes  pid=146560
[06:22:29.782556] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.782581] AMF   WRITE    44     bytes  pid=146560
[06:22:29.782583] AMF   CONNECT  → 127.0.0.11:53           pid=146560
[06:22:29.782597] AMF   WRITE    44     bytes  pid=146560
