[*] Looking for NRF container process...
    pid=146207
    exe=/proc/146207/exe
    cgroup_id=25914

[*] Attaching uprobes...
  [uprobe] nrf_nf_register               github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFRegisterProcedure
  [uprobe] nrf_nf_deregister             github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFDeregisterProcedure
  [uprobe] nrf_get_nf_inst               github.com/free5gc/nrf/internal/sbi/processor.(*Processor).GetNFInstanceProcedure
  [uprobe] nrf_get_nf_inst_list          github.com/free5gc/nrf/internal/sbi/processor.(*Processor).GetNFInstancesProcedure
  [uprobe] nrf_update_nf_inst            github.com/free5gc/nrf/internal/sbi/processor.(*Processor).UpdateNFInstanceProcedure
  [uprobe] nrf_create_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).CreateSubscriptionProcedure
  [uprobe] nrf_remove_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).RemoveSubscriptionProcedure
  [uprobe] nrf_update_sub                github.com/free5gc/nrf/internal/sbi/processor.(*Processor).UpdateSubscriptionProcedure
  [uprobe] nrf_access_token              github.com/free5gc/nrf/internal/sbi/processor.(*Processor).AccessTokenProcedure
  [uprobe] nrf_nf_discovery              github.com/free5gc/nrf/internal/sbi/processor.(*Processor).NFDiscoveryProcedure
[*] Attaching tracepoints...
  [tp]     syscalls/sys_enter_connect
  [tp]     syscalls/sys_exit_connect
  [tp]     syscalls/sys_enter_accept4
  [tp]     syscalls/sys_exit_accept4
  [tp]     syscalls/sys_enter_write
  [tp]     syscalls/sys_exit_read

[*] Tracing NRF (pid=146207). Ctrl+C to stop.

TIMESTAMP               NF    EVENT      DETAIL
──────────────────────  ────  ─────────  ────────────────────────────────
[03:57:47.621049] NRF   WRITE    8      bytes  pid=146207
[03:57:47.621065] NRF   READ     8      bytes  pid=146207
[03:57:51.527060] NRF   READ     4      bytes  pid=146207
[03:57:51.527104] NRF   READ     319    bytes  pid=146207
[03:57:51.527551] NRF   WRITE    8      bytes  pid=146207
[03:57:51.527600] NRF   READ     8      bytes  pid=146207
[03:57:52.624164] NRF   WRITE    62     bytes  pid=146207
[03:57:52.624479] NRF   READ     4      bytes  pid=146207
[03:57:52.624491] NRF   READ     319    bytes  pid=146207
[03:57:52.624572] NRF   WRITE    8      bytes  pid=146207
[03:57:52.624632] NRF   READ     8      bytes  pid=146207
[03:57:52.638163] NRF   ACCEPT   ← 10.100.200.16:50896     pid=146207  fd=7
[03:57:52.638592] NRF   READ     70     bytes  pid=146207
[03:57:52.638675] NRF   WRITE    8      bytes  pid=146207
[03:57:52.638703] NRF   WRITE    39     bytes  pid=146207
[03:57:52.639039] NRF   READ     8      bytes  pid=146207
[03:57:52.639074] NRF   READ     9      bytes  pid=146207
[03:57:52.639079] NRF   READ     119    bytes  pid=146207
[03:57:52.639157] NRF   READ     9      bytes  pid=146207
[03:57:52.639160] NRF   READ     123    bytes  pid=146207
[03:57:52.639241] NRF   WRITE    85     bytes  pid=146207
[03:57:52.639670] NRF   API      AccessToken               pid=146207 tid=148452
[03:57:52.639770] NRF   READ     9      bytes  pid=146207
[03:57:52.639809] NRF   WRITE    22     bytes  pid=146207
[03:57:52.640133] NRF   WRITE    196    bytes  pid=146207
[03:57:52.640535] NRF   READ     4      bytes  pid=146207
[03:57:52.640550] NRF   READ     2418   bytes  pid=146207
[03:57:52.641739] NRF   READ     1302   bytes  pid=146207
[03:57:52.641839] NRF   WRITE    291    bytes  pid=146207
[03:57:52.644766] NRF   WRITE    112    bytes  pid=146207
[03:57:52.644869] NRF   WRITE    63     bytes  pid=146207
[03:57:52.645155] NRF   WRITE    8      bytes  pid=146207
[03:57:52.645179] NRF   WRITE    626    bytes  pid=146207
[03:57:52.648326] NRF   READ     8      bytes  pid=146207
[03:57:52.648335] NRF   READ     9      bytes  pid=146207
[03:57:52.648344] NRF   READ     514    bytes  pid=146207
[03:57:52.648470] NRF   WRITE    17     bytes  pid=146207
[03:57:52.648601] NRF   READ     1237   bytes  pid=146207
[03:57:52.648899] NRF   WRITE    84     bytes  pid=146207
[03:57:52.649275] NRF   API      NFDiscovery               pid=146207 tid=146207
[03:57:52.649494] NRF   WRITE    237    bytes  pid=146207
[03:57:52.653245] NRF   READ     4      bytes  pid=146207
[03:57:52.653263] NRF   READ     666    bytes  pid=146207
[03:57:52.653810] NRF   WRITE    167    bytes  pid=146207
[03:57:52.654234] NRF   WRITE    17     bytes  pid=146207
[03:57:52.654538] NRF   WRITE    8      bytes  pid=146207
[03:57:52.654551] NRF   WRITE    537    bytes  pid=146207
[03:57:52.654586] NRF   READ     8      bytes  pid=146207
[03:57:52.661171] NRF   ACCEPT   ← 10.100.200.16:50898     pid=146207  fd=7
[03:57:52.661484] NRF   READ     70     bytes  pid=146207
[03:57:52.661871] NRF   WRITE    8      bytes  pid=146207
[03:57:52.661893] NRF   READ     8      bytes  pid=146207
[03:57:52.661924] NRF   READ     9      bytes  pid=146207
[03:57:52.661929] NRF   READ     119    bytes  pid=146207
[03:57:52.661952] NRF   WRITE    39     bytes  pid=146207
[03:57:52.661985] NRF   WRITE    22     bytes  pid=146207
[03:57:52.662141] NRF   READ     9      bytes  pid=146207
[03:57:52.662145] NRF   READ     125    bytes  pid=146207
[03:57:52.662303] NRF   READ     9      bytes  pid=146207
[03:57:52.662821] NRF   WRITE    85     bytes  pid=146207
[03:57:52.663111] NRF   API      AccessToken               pid=146207 tid=146207
[03:57:52.663254] NRF   WRITE    196    bytes  pid=146207
[03:57:52.663722] NRF   READ     4      bytes  pid=146207
[03:57:52.663730] NRF   READ     2418   bytes  pid=146207
[03:57:52.665185] NRF   READ     1302   bytes  pid=146207
[03:57:52.665284] NRF   WRITE    291    bytes  pid=146207
[03:57:52.665621] NRF   WRITE    158    bytes  pid=146207
[03:57:52.666051] NRF   READ     4      bytes  pid=146207
[03:57:52.666057] NRF   READ     666    bytes  pid=146207
[03:57:52.673234] NRF   WRITE    112    bytes  pid=146207
[03:57:52.673781] NRF   WRITE    63     bytes  pid=146207
[03:57:52.674245] NRF   WRITE    8      bytes  pid=146207
[03:57:52.674272] NRF   READ     8      bytes  pid=146207
[03:57:52.674304] NRF   WRITE    628    bytes  pid=146207
[03:57:52.676268] NRF   WRITE    8      bytes  pid=146207
[03:57:52.676282] NRF   READ     8      bytes  pid=146207
[03:57:52.676333] NRF   WRITE    17     bytes  pid=146207
[03:57:52.678848] NRF   ACCEPT   ← 10.100.200.10:41652     pid=146207  fd=8
[03:57:52.678980] NRF   READ     70     bytes  pid=146207
[03:57:52.679156] NRF   WRITE    39     bytes  pid=146207
[03:57:52.679227] NRF   READ     9      bytes  pid=146207
[03:57:52.679233] NRF   READ     119    bytes  pid=146207
[03:57:52.679327] NRF   WRITE    85     bytes  pid=146207
[03:57:52.679329] NRF   READ     9      bytes  pid=146207
[03:57:52.679355] NRF   READ     124    bytes  pid=146207
[03:57:52.679532] NRF   READ     9      bytes  pid=146207
[03:57:52.679593] NRF   WRITE    22     bytes  pid=146207
[03:57:52.679694] NRF   API      AccessToken               pid=146207 tid=148452
[03:57:52.679860] NRF   WRITE    196    bytes  pid=146207
[03:57:52.680319] NRF   READ     4      bytes  pid=146207
[03:57:52.680326] NRF   READ     666    bytes  pid=146207
[03:57:52.680911] NRF   READ     1302   bytes  pid=146207
[03:57:52.681043] NRF   WRITE    291    bytes  pid=146207
[03:57:52.683939] NRF   WRITE    112    bytes  pid=146207
[03:57:52.684233] NRF   WRITE    63     bytes  pid=146207
[03:57:52.684381] NRF   WRITE    8      bytes  pid=146207
[03:57:52.684394] NRF   WRITE    626    bytes  pid=146207
[03:57:52.684432] NRF   READ     8      bytes  pid=146207
[03:57:52.685275] NRF   READ     9      bytes  pid=146207
